
; Distancia (Mpc) ; Nome da galaxia1 ; Massa1 ($M_\odot$) ; Idade1 (Gyr) ; redshift1 ; Nome da galaxia2 ; Massa2 ($M_\odot$) ; Idade2 (Gyr) ; redshift2 ; Criterio ;
; 0.78 ; M31 ; $1.5 \times 10^{11}$ ; 11.5 ; -0.00100 ; M32 ; $1.0 \times 10^{9}$ ; 5.0 ; -0.00067 ; 1 ;
; 0.78 ; M31 ; $1.5 \times 10^{11}$ ; 11.5 ; -0.00100 ; NGC 205 ; $5.0 \times 10^{8}$ ; 6.0 ; -0.00080 ; 1 ;
; 3.60 ; M81 ; $7.0 \times 10^{10}$ ; 11.0 ; -0.00011 ; NGC 3077 ; $6.0 \times 10^{9}$ ; 4.5 ; 0.00004 ; 1 ;
; 3.66 ; Centaurus A ; $2.0 \times 10^{11}$ ; 12.0 ; 0.00183 ; NGC 5237 ; $4.0 \times 10^{8}$ ; 6.5 ; 0.00120 ; 0 ;
; 16.5 ; M87 ; $1.0 \times 10^{12}$ ; 13.0 ; 0.00436 ; NGC 4478 ; $1.8 \times 10^{10}$ ; 8.0 ; 0.00464 ; 1 ;
; 16.5 ; M87 ; $1.0 \times 10^{12}$ ; 13.0 ; 0.00436 ; NGC 4486A ; $4.0 \times 10^{9}$ ; 7.5 ; 0.00253 ; 0 ;
; 17.0 ; M100 ; $1.6 \times 10^{11}$ ; 9.5 ; 0.00524 ; NGC 4323 ; $2.0 \times 10^{9}$ ; 5.0 ; 0.00582 ; 1 ;
; 18.4 ; M49 ; $8.0 \times 10^{11}$ ; 12.5 ; 0.00331 ; NGC 4467 ; $1.2 \times 10^{9}$ ; 8.5 ; 0.00465 ; 1 ;
; 18.4 ; M49 ; $8.0 \times 10^{11}$ ; 12.5 ; 0.00331 ; NGC 4465 ; $3.5 \times 10^{9}$ ; 6.0 ; 0.00302 ; 0 ;
; 3.20 ; NGC 5128 ; $2.0 \times 10^{11}$ ; 12.0 ; 0.00183 ; KK 221 ; $6.0 \times 10^{7}$ ; 7.0 ; 0.00171 ; 0 ;
; 16.5 ; M49 ; $8.0 \times 10^{11}$ ; 12.5 ; 0.00331 ; NGC 4428 ; $2.5 \times 10^{10}$ ; 7.0 ; 0.00510 ; 1 ;
; 16.5 ; M60 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00373 ; NGC 4647 ; $2.0 \times 10^{10}$ ; 5.0 ; 0.00470 ; 1 ;
; 12.0 ; NGC 4631 ; $3.0 \times 10^{10}$ ; 9.0 ; 0.00202 ; NGC 4656 ; $6.0 \times 10^{9}$ ; 4.0 ; 0.00215 ; 1 ;
; 18.4 ; M86 ; $4.0 \times 10^{11}$ ; 12.0 ; -0.00094 ; NGC 4402 ; $2.0 \times 10^{10}$ ; 6.0 ; 0.00077 ; 1 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; NGC 1404 ; $1.0 \times 10^{11}$ ; 10.0 ; 0.00649 ; 1 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; NGC 1387 ; $6.0 \times 10^{10}$ ; 11.0 ; 0.00434 ; 0 ;
; 3.50 ; NGC 253 ; $6.0 \times 10^{10}$ ; 8.5 ; 0.00081 ; NGC 247 ; $1.0 \times 10^{10}$ ; 7.0 ; 0.00052 ; 0 ;
; 11.2 ; M104 ; $8.0 \times 10^{11}$ ; 12.0 ; 0.00360 ; UGCA 287 ; $5.0 \times 10^{8}$ ; 6.0 ; 0.00390 ; 1 ;
; 16.5 ; M84 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.00354 ; NGC 4388 ; $2.0 \times 10^{10}$ ; 6.5 ; 0.00841 ; 1 ;
; 9.80 ; M83 ; $7.0 \times 10^{10}$ ; 9.0 ; 0.00171 ; NGC 5264 ; $3.0 \times 10^{8}$ ; 5.5 ; 0.00160 ; 0 ;
